CompanyName,ProjectType,LoanType,Address,City,State,ZIP_Code,Latitude,Longitude,CityCouncilDistrict,CityCouncilSuperDistrict,CountyCommissionDistrict,Term,ProjectedNewJobs,ProjectedRetainedJobs,AveragePayroll,Approved_Date,LoanAmount,LoanUse,InterestRate,TotalProjectedCapitalInvestment,PCI_RealProperty,PCI_Acquisition,PCI_Construction,PCI_Renovation,PCI_MachineryEquipment,PCI_FurnitureFixturesOffice,PCI_Equipment,PCI_FeesSoftCosts,PCI_PermanentWorkingCapital,PCI_Miscellaneous
Pink Noire Beauty Supply & Cosmetics,Neighborhood Project,Inner City Economic Development Loan,152 North Avalon,Memphis,TN,38104,35.14218791,-90.00620719,6,8,8,3,2,0,0,8/16/2023,17000,Neighborhood Project,0,25000,0,0,0,0,0,0,0,0,0,0
"100 N. Main, LLC Development Loan",Other,Other,100 North Main,Memphis,TN,38103,35.14807251,-90.05140993,7,8,8,20,0,0,0,8/16/2023,5000000,Demolition,4,269000000,0,0,0,0,0,0,0,0,0,0
Spotlight Productions,Neighborhood Project,Inner City Economic Development Loan,649 North Second,Memphis,TN,38107,35.16212644,-90.0449012,7,8,8,3,2,0,0,8/16/2023,25000,Neighborhood Project,0,272000,0,0,0,0,0,0,0,0,0,0
Beeexcellent Academy LLC,Neighborhood Project,Inner City Economic Development Loan,2975 Old Austin Peay Hwy,Memphis,TN,38128,35.20667438,-89.92192781,1,9,6,3,2,0,0,8/16/2023,15000,Completing Qualified Improvements,0,22402,3050,0,0,5630,0,2500,0,1500,0,9722
Little Learners Literacy Academy,Office/HQ,Inner City Economic Development Loan,"2510 Mt. Moriah, Bldg. E.",Memphis,TN,38115,35.08212689,-89.88571645,4,8,11,3,5,0,0,9/20/2023,25000,Interior Renovation,0,168000,0,0,0,168000,0,0,0,0,0,0
"Rikoâ€™s Kickin Chicken, LLC",Office/HQ,Inner City Economic Development Loan,1329 Madison Ave,MEMPHIS,TN,38104,35.138729,-90.016891,6,8,8,3,4,0,0,10/18/2023,14900,Interior Renovation,0,22350,3000,0,0,15900,0,0,0,0,0,3450
"Professional Allied Health, LLC",Office/HQ,Inner City Economic Development Loan,3768 S Hickory Ridge Mall,MEMPHIS,TN,38115,35.048607,-89.861013,3,8,11,3,1,3,0,10/18/2023,21806,Interior Renovation,0,32710,0,0,0,0,0,32710,0,0,0,0
"Groovy Gratitude, LLC",Office/HQ,Inner City Economic Development Loan,605 N.2nd St. Suite 101,Memphis,TN,38105,35.16084588,-90.04542703,7,8,8,3,3,0,0,11/15/2023,25000,Completing Qualified Improvements,0,93500,0,0,0,55000,0,38500,0,0,0,0
"Upscale Kutz, LLC",Office/HQ,Inner City Economic Development Loan,1333 Madison Ave,Memphis,TN,38104,35.13899252,-90.01676816,6,8,8,3,1,0,0,11/16/2023,24334,Completing Qualified Improvements,0,36500,0,0,0,36500,0,0,0,0,0,0
"Hillboyz, LLC",Neighborhood Project,Inner City Economic Development Loan,3711 Lamar Avenue,Memphis,TN,38118,35.06295,-89.94015,3,8,10,3,5,0,0,12/13/2023,25000,,0,66900,0,0,0,21900,0,40000,0,0,0,5000
